id,nombre
1,metaheuristicas 
2,computacion biologica 
3,bioinformatica 
4,aprendizaje maquina 
5,aptrendizaje profundo 
6,big data 
7,algebra lineal 
8,calculo variable 
9,comunicacion y lenguaje 
10,fundamentos programacion 
11,calculo varias variables 
12,ecuaciones diferenciales 
13,educacion valores y derechos ciudadanos 
14,programacion orientada a objetos 
15,electricidad y magnetismo 
16,estructura datos 
17,fisica 
18,introduccion a investigacion cientifica 
19,fundamentos ciencias computacion 
20,matematica discreta 
21,metodos numericos 
22,analisis y diseno algoritmos 
23,bases datos 
24,interaccion humano computador 
25,sistemas operatos 
26,teoria automatas y lenguajes formales 
27,aruitectura y organizacion del computador 
28,bases datos avanzadas 
29,estadistica descripta 
30,programacion funcional y reacta 
31,redes computadoras 
32,desarrollo aplicaciones multiplataforma 
33,estaditica inferencial 
34,metodos optimizacion 
35,mineria datos 
36,computacion paralela y distribuida 
37,computacion cientifica 
38,internet cosas 
39,seguridad informacion 
40,simulacion 
41,ingenieria del software 
42,realidad socio economica cultural y ecologica del ecuador 
43,seminario titulacion 
44,auditoria informatica 
45,desarrollo del trabajo titulacion 
46,etica profesional 
47,ingenieria del software 
